name,age,min_age,max_age,slat,slon,N,K,A95,plat,plon,mdec,minc,plateID,lithology,f,p_std
SWJ-Hay86-Ake,17.8,17.5,18.1,35.4,137.2,20,13.8,9.1,42.9,221.0,55,45.9,,undefined,,
SWJ-Hay86-Oid,15.75,15.7,15.8,35.4,137.2,12,17.5,10.7,66.8,244.2,24.8,44.3,,undefined,,
SWJ-Hay86-Toy,17.5,16,19,34.7,136.9,29,19.8,6.2,43.4,210.8,57.2,53.3,,undefined,,
SWJ-Hay86-Uts,15.5,15,16,34.7,136.9,45,15.1,5.7,63.8,215.7,32.2,55,,undefined,,
SWJ-Hay84-Ich,16.4,15.2,17.6,34.7,136.4,39,10.1,7.6,50.4,230.8,43.9,41,,undefined,,
SWJ-Hir99-Ake,17.8,17.5,18.1,35.4,137.2,78,19.7,3.7,46.4,224.4,50.3,45,,undefined,,
SWJ-Hir99-Mat,16.6,15.7,17.5,34.82,138,98,11.3,4.5,53.1,186.9,46.4,68.2,,undefined,,
SWJ-Hir-INS,16.3,15.6,17,36.25,136.3,62,120.7,1.6,55.8,225.6,40.3,48.7,,undefined,,
SWJ-Hoshi13-Tsu,15,14.7,15.3,35.2,137.62,9,15.9,13.3,79.6,263.6,9.6,47.6,,undefined,,
SWJ-Hoshi01-Shi,15,14.3,15.7,35.15,137.61,21,29.8,5.9,84.0,254.8,6.3,51.6,,undefined,,
SWJ-Hoshi00-Nijo,14.9,14.6,15.2,34.5,135.6,20,26.2,6.5,85.0,50.0,353.9,54.2,,undefined,,
SWJ-Hoshi15-Oid,15.75,15.7,15.8,35.4,137.25,19,18.6,8,77.2,262.3,11.8,46.1,,undefined,,
SWJ-Ishi-KK,30,27,33,33.9,130.7,45,34.6,3.7,56.4,224.1,37.9,44.2,,undefined,,
SWJ-Itoh-EMio,15.7,15,16.4,36,137.2,5,30.3,14.1,79.0,240.3,12.8,52.2,,undefined,,
SWJ-Itoh-Hig,15,14.9,15.1,36.6,137.08,61,17.7,4.4,83.0,317.1,360,48.6,,undefined,,
SWJ-Itoh-Ton,14.8,14.7,14.9,36.6,137.08,7,145,5,89.0,223.8,1.3,56.1,,undefined,,
SWJ-Itoh-Dai,15.9,15.2,16.6,36.25,136.33,56,61.8,2.4,60.1,217.1,37.1,54.7,,undefined,,
SWJ-Itoh-Kan,15.9,15.2,16.6,36.5,136.67,5,25.7,15.4,68.8,226.8,25.7,53.1,,undefined,,
SWJ-Itoh03-Ioz,15.6,15.2,16,36.55,136.83,7,11.9,18.2,65.2,225.2,30.1,52.8,,undefined,,
SWJ-Itoh01-Was,21,20,22,36.28,136.61,5,31.2,13.9,50.5,209.9,49.9,56.6,,undefined,,
SWJ-Koj-Kori,19,17,21,36.25,133.2,4,13.9,25.6,41.7,221.1,55.1,42.4,,undefined,,
SWJ-Koj-Oki,6.8,6.6,7,36.3,133.23,4,13.8,25.6,78.3,332.7,355.7,43.2,,undefined,,
SWJ-Nak-Kun,12.6,11.1,14.1,36.1,136.1,6,33.4,11.8,74.5,337.4,354,38.2,,undefined,,
SWJ-Nak-Nun,16,14.2,17.8,36.1,136.1,3,15.7,32.3,60.5,257.0,26.4,32.9,,undefined,,
SWJ-Nak-Sas,19,18.6,19.4,36.1,136.1,7,6.8,25,54.8,220.0,42.5,51.4,,undefined,,
SWJ-Nak-Uch,15.1,14.8,15.4,35.5,135.5,4,12,27.7,79.5,20.2,349,49.7,,undefined,,
SWJ-Nak-Ume,15.4,13.4,17.4,35.9,136,23,35.1,5.2,71.7,337.6,353,34.1,,undefined,,
SWJ-Oto83-Kaw,28.5,28,29,35,132.5,6,16.4,17,35.7,225.4,58.3,32.2,,undefined,,
SWJ-Oto83-KG,33,32,34,35,132.5,5,111.5,7.3,41.2,206.5,59.8,52.6,,undefined,,
SWJ-Oto84-31/35,33,31,35,34.85,132,15,13.1,11,33.4,211.8,65.9,44.1,,undefined,,
SWJ-Oto84-Hata,21,20,22,35.08,132.52,4,19.3,21.4,30.7,213.4,68.2,41.6,,undefined,,
SWJ-Oto91-Kaw,16.1,14.7,17.5,35.23,132.75,5,43.1,11.8,56.6,228.2,37.6,44.3,,undefined,,
SWJ-Oto91-Omo,14.2,13.6,14.8,35.28,132.92,10,13.1,13.9,87.3,62.6,356.9,55.6,,undefined,,
SWJ-Saw-Hata,15.9,14.9,16.9,35.18,132.73,6,51.2,9.5,78.6,278.4,7.1,43.7,,undefined,,
SWJ-Saw-Sada,20,18,22,35.18,132.73,6,28.2,12.8,44.0,220.3,52.5,43.2,,undefined,,
SWJ-Tam06-Ioz,17,16.7,17.3,36.56,137.07,4,18.5,22,51.3,229.8,44.1,44.5,,undefined,,
SWJ-Tam06-Iwa,17.2,16.8,17.6,36.54,137.06,5,11.4,23.7,55.9,231.8,38.9,45.7,,undefined,,
