name,age,min_age,max_age,slat,slon,N,K,A95,plat,plon,mdec,minc,plateID,lithology,f,p_std
NEJ-Baba-RY,16.52,15.7,17.34,38,140.7,99,34.1,2.5,68.5,56.4,332.8,56.4,,undefined,,
NEJ-Baba-TA,14.44,13.56,15.32,38,140.7,93,16.6,3.7,73.5,331.9,356.6,38.6,,undefined,,
NEJ-Hir-Fuk1,22.3,21.6,23,37.3,140.6,4,90.3,9.7,77.7,36.2,345.7,52.8,,undefined,,
NEJ-Hir-Nii1,12.9,12.2,13.6,37.8,138.8,6,132.2,5.8,82.3,272.6,6.6,51.6,,undefined,,
NEJ-Hir-NMS,15,14.5,15.5,37.5,139.1,28,221.3,1.8,66.9,31.2,335.1,46.4,,undefined,,
NEJ-Hoshi98-KE,17.1,16.8,17.4,40.18,141.31,8,105.9,5.4,88.9,217.2,1.4,59.6,,undefined,,
NEJ-Hoshi98-NIS,21,20.7,21.3,40.28,141.33,40,41.6,3.5,34,54.2,295.8,40.6,,undefined,,
NEJ-Hoshi97-Mot,18,17.6,18.4,36.6,140.2,25,72.8,3.4,82.7,318.1,0.3,48.3,,undefined,,
NEJ-Hoshi97-Yam,17.2,16.8,17.6,36.6,140.2,33,21.6,5.5,81,235.1,11,54.8,,undefined,,
NEJ-Hoshi13,15.9,15.7,16.1,36.57,140.19,106,32.9,2.4,82.7,200.8,8.3,59.1,,undefined,,
NEJ-Hoshi07,13.5,13.3,13.7,38.75,141.2,82,42.8,2.4,77.5,178.4,11.3,65.9,,undefined,,
NEJ-Hos-Im,16.1,15,17.2,39.28,140.84,51,58.9,2.6,65,83.1,327.4,66.1,,undefined,,
NEJ-Hos-Kr,14.5,14,15,39.29,140.78,19,128.7,3,82.1,236.9,10,57.4,,undefined,,
NEJ-Oto85-Dai,20.1,19,21.2,39.96,139.76,17,90.3,3.8,59.8,34,327.2,45.3,,undefined,,
NEJ-Oto85-Mas,21.9,,,39.18,140.33,25,137.2,2.5,56.7,106.5,319.6,75,,undefined,,
NEJ-Oto85-Oku,14.1,,,39.72,140.39,18,40.8,5.5,78.7,11.6,349.6,51.5,,undefined,,
NEJ-Oto85-Yun,33,,,39.12,140.37,28,29.3,5.1,57.7,76.5,316.6,64,,undefined,,
NEJ-Oto-Oka,25,,,39.03,140.36,4,133.9,8,52.1,49.9,315.1,48.6,,undefined,,
NEJ-Oto94-Its,6.3,5.6,7,40.02,141.11,24,156.6,2.4,80.5,353,354.1,51.1,,undefined,,
NEJ-Oto94-Kir,11.6,10.4,12.8,40,140.94,24,57.4,3.9,74.5,300.9,5.8,43.4,,undefined,,
NEJ-Oto94-Nis,21.8,,,40.3,141.34,22,35,5.3,22.5,66.2,278.8,43.5,,undefined,,
NEJ-Oto94-Yas,17.2,16.3,18.1,39.23,140.21,34,46.5,3.6,50.6,67.9,308.3,58.9,,undefined,,
NEJ-Oto-Azu,7.15,7,7.3,40.13,140.86,4,21.4,20.3,82.6,192.6,8.2,63,,undefined,,
NEJ-Oto97-mean1,13.75,12,15.5,36.8,139.3,8,29.9,10.3,81,310.2,1.6,46.7,,undefined,,
NEJ-Oto97-mean2,7.95,5,10.9,36.8,139.3,21,13.1,9.1,79,267,10,48.7,,undefined,,
NEJ-Tak-RY,16,15.5,16.5,37.75,140.75,63,31.1,3.3,86,351.5,357.5,53.7,,undefined,,
NEJ-Tak-TM,20,19.5,20.5,37.75,140.82,31,16,6.7,51.5,33.2,321.1,35,,undefined,,
NEJ-Tam-Og/Ts,16,15.5,16.5,38.9,139.6,19,24,7,84.2,305.4,1.7,52.7,,undefined,,
NEJ-Yam-Kan,17.8,16.2,19.4,37.72,139.47,11,26.1,9.1,79.1,54.7,346.2,57.3,,undefined,,
NEJ-Yam-Kit,22.7,22.4,23,38.25,139.67,9,8.8,18.4,68.2,70.3,331.8,61.5,,undefined,,
WHO-Fuj-As,9.25,7.3,11.2,42,140.5,19,18.9,7.9,76.7,319.7,0.2,47.6,,undefined,,
WHO-Fuj-Fu,23,21.7,24.3,42,140.5,13,26.1,8.3,38,59.4,295.8,49.3,,undefined,,
WHO-Fuj-Kik,12.85,11.2,14.5,42,140.5,10,15.9,12.5,84.9,329.5,359,56.4,,undefined,,
WHO-Fuj-Ku,15.8,14.5,17.1,42,140.5,29,8.9,9.5,78.7,24.8,347.3,55.8,,undefined,,
WHO-Oto-Kun,24.7,23.5,25.9,43,140.9,19,22.9,7.2,44.7,83.2,293,66.7,,undefined,,
WHO-Tan-Fur,13.81,11.63,15.99,43.2,140.5,19,37,5.6,84.1,212.9,7.9,63.2,,undefined,,
WHO-Tan-Yob,3.96,2.58,5.33,43.2,140.5,6,32.5,11.9,73.3,296.1,7.7,46.4,,undefined,,
